team,pitch_type,win_rate,matches
PBKS,Batting-friendly,0.5,28
PBKS,Balanced,0.3714,35
PBKS,Spin-friendly,0.75,4
PBKS,Sluggish,0.0,4
RCB,Batting-friendly,0.4286,42
RCB,Balanced,0.64,25
RCB,Spin-friendly,0.75,4
RCB,Sluggish,0.4,5
CSK,Batting-friendly,0.4667,30
CSK,Balanced,0.48,25
CSK,Spin-friendly,0.6875,16
CSK,Sluggish,0.5,4
MI,Batting-friendly,0.4595,37
MI,Balanced,0.4091,22
MI,Spin-friendly,0.375,8
MI,Sluggish,0.75,8
DC,Batting-friendly,0.5806,31
DC,Balanced,0.4324,37
DC,Spin-friendly,0.3333,3
DC,Sluggish,0.4,5
GT,Batting-friendly,0.5484,31
GT,Balanced,0.8462,13
GT,Spin-friendly,0.0,2
GT,Sluggish,0.5,0
SRH,Batting-friendly,0.4167,24
SRH,Balanced,0.4595,37
SRH,Spin-friendly,0.2222,9
SRH,Sluggish,0.4,5
LSG,Batting-friendly,0.6667,15
LSG,Balanced,0.4815,27
LSG,Spin-friendly,0.3333,3
LSG,Sluggish,0.5,0
RR,Batting-friendly,0.5161,31
RR,Balanced,0.4722,36
RR,Spin-friendly,0.3333,3
RR,Sluggish,0.6,5
KKR,Batting-friendly,0.5161,31
KKR,Balanced,0.5172,29
KKR,Spin-friendly,0.5,6
KKR,Sluggish,0.5,8
